tconst,year,primaryTitle,originalTitle,runtimeMinutes,genres,averageRating
tt0111161,1994,The Shawshank Redemption,The Shawshank Redemption,142,Drama,9.3
tt0468569,2008,The Dark Knight,The Dark Knight,152,"Action,Crime,Drama",9.0
tt1375666,2010,Inception,Inception,148,"Action,Adventure,Sci-Fi",8.8
tt0137523,1999,Fight Club,Fight Club,139,Drama,8.8
tt0110912,1994,Pulp Fiction,Pulp Fiction,154,"Crime,Drama",8.9
tt0109830,1994,Forrest Gump,Forrest Gump,142,"Drama,Romance",8.8
tt0133093,1999,The Matrix,The Matrix,136,"Action,Sci-Fi",8.7
tt0120737,2001,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,178,"Action,Adventure,Drama",8.8
tt0167260,2003,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,201,"Adventure,Drama,Fantasy",8.9
tt0068646,1972,The Godfather,The Godfather,175,"Crime,Drama",9.2
tt1345836,2012,The Dark Knight Rises,The Dark Knight Rises,164,"Action,Adventure",8.4
tt0167261,2002,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,179,"Adventure,Drama,Fantasy",8.7
tt0816692,2014,Interstellar,Interstellar,169,"Adventure,Drama,Sci-Fi",8.6
tt0114369,1995,Se7en,Se7en,127,"Crime,Drama,Mystery",8.6
tt1853728,2012,Django Unchained,Django Unchained,165,"Drama,Western",8.4
tt0172495,2000,Gladiator,Gladiator,155,"Action,Adventure,Drama",8.5
tt0372784,2005,Batman Begins,Batman Begins,140,"Action,Adventure",8.2
tt0848228,2012,The Avengers,The Avengers,143,"Action,Adventure,Sci-Fi",8.0
tt0102926,1991,The Silence of the Lambs,The Silence of the Lambs,118,"Crime,Drama,Thriller",8.6
tt0361748,2009,Inglourious Basterds,Inglourious Basterds,153,"Adventure,Drama,War",8.3
tt0076759,1977,Star Wars: Episode IV - A New Hope,Star Wars,121,"Action,Adventure,Fantasy",8.6
tt0120815,1998,Saving Private Ryan,Saving Private Ryan,169,"Drama,War",8.6
tt0108052,1993,Schindler's List,Schindler's List,195,"Biography,Drama,History",8.9
tt0407887,2006,The Departed,The Departed,151,"Crime,Drama,Thriller",8.5
tt0482571,2006,The Prestige,The Prestige,130,"Drama,Mystery,Sci-Fi",8.5
tt0080684,1980,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back,124,"Action,Adventure,Fantasy",8.7
tt0993846,2013,The Wolf of Wall Street,The Wolf of Wall Street,180,"Biography,Crime,Drama",8.2
tt0499549,2009,Avatar,Avatar,162,"Action,Adventure,Fantasy",7.8
tt0120689,1999,The Green Mile,The Green Mile,189,"Crime,Drama,Fantasy",8.6
tt0209144,2000,Memento,Memento,113,"Mystery,Thriller",8.4
tt0071562,1974,The Godfather: Part II,The Godfather: Part II,202,"Crime,Drama",9.0
tt1130884,2010,Shutter Island,Shutter Island,138,"Mystery,Thriller",8.1
tt0169547,1999,American Beauty,American Beauty,122,Drama,8.3
tt2015381,2014,Guardians of the Galaxy,Guardians of the Galaxy,121,"Action,Adventure,Comedy",8.0
tt0120338,1997,Titanic,Titanic,194,"Drama,Romance",7.8
tt0120586,1998,American History X,American History X,119,Drama,8.5
tt0088763,1985,Back to the Future,Back to the Future,116,"Adventure,Comedy,Sci-Fi",8.5
tt0325980,2003,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,143,"Action,Adventure,Fantasy",8.0
tt0434409,2005,V for Vendetta,V for Vendetta,132,"Action,Drama,Sci-Fi",8.2
tt0110413,1994,Léon: The Professional,Léon,110,"Action,Crime,Drama",8.5
tt0099685,1990,Goodfellas,Goodfellas,146,"Biography,Crime,Drama",8.7
tt0103064,1991,Terminator 2: Judgment Day,Terminator 2: Judgment Day,137,"Action,Sci-Fi",8.5
tt0266697,2003,Kill Bill: Vol. 1,Kill Bill: Vol. 1,111,"Action,Crime,Thriller",8.1
tt0910970,2008,WALL·E,WALL·E,98,"Adventure,Animation,Family",8.4
