nconst,primaryName
nm0000001,Fred Astaire
nm0000004,John Belushi
nm0000005,Ingmar Bergman
nm0000007,Humphrey Bogart
nm0000008,Marlon Brando
nm0000009,Richard Burton
nm0000010,James Cagney
nm0000011,Gary Cooper
nm0000015,James Dean
nm0000018,Kirk Douglas
nm0000020,Henry Fonda
nm0000022,Clark Gable
nm0000024,John Gielgud
nm0000026,Cary Grant
nm0000027,Alec Guinness
nm0000032,Charlton Heston
nm0000033,Alfred Hitchcock
nm0000034,William Holden
nm0000036,Buster Keaton
nm0000037,Gene Kelly
nm0000042,Alan Ladd
nm0000044,Burt Lancaster
nm0000045,Bruce Lee
nm0000048,Peter Lorre
nm0000050,Groucho Marx
nm0000051,James Mason
nm0000052,Marcello Mastroianni
nm0000053,Robert Mitchum
nm0000056,Paul Newman
nm0000057,David Niven
nm0000059,Laurence Olivier
nm0000060,Gregory Peck
nm0000061,Tyrone Power
nm0000063,Anthony Quinn
nm0000064,Edward G. Robinson
nm0000068,Randolph Scott
nm0000069,Frank Sinatra
nm0000071,James Stewart
nm0000075,Spencer Tracy
nm0000076,François Truffaut
nm0000078,John Wayne
nm0000080,Orson Welles
nm0000086,Louis de Funès
nm0000090,Armin Mueller-Stahl
nm0000092,John Cleese
nm0000093,Brad Pitt
nm0000095,Woody Allen
nm0000100,Rowan Atkinson
nm0000101,Dan Aykroyd
nm0000102,Kevin Bacon
nm0000104,Antonio Banderas
nm0000110,Kenneth Branagh
nm0000111,Matthew Broderick
nm0000112,Pierce Brosnan
nm0000114,Steve Buscemi
nm0000115,Nicolas Cage
nm0000118,John Carpenter
nm0000120,Jim Carrey
nm0000122,Charles Chaplin
nm0000123,George Clooney
nm0000125,Sean Connery
nm0000126,Kevin Costner
nm0000127,Wes Craven
nm0000128,Russell Crowe
nm0000129,Tom Cruise
nm0000131,John Cusack
nm0000134,Robert De Niro
nm0000135,John Denver
nm0000136,Johnny Depp
nm0000138,Leonardo DiCaprio
nm0000140,Michael Douglas
nm0000141,David Duchovny
nm0000142,Clint Eastwood
nm0000144,Cary Elwes
nm0000146,Ralph Fiennes
nm0000147,Colin Firth
nm0000148,Harrison Ford
nm0000150,Michael J. Fox
nm0000151,Morgan Freeman
nm0000152,Richard Gere
nm0000154,Mel Gibson
nm0000156,Jeff Goldblum
nm0000158,Tom Hanks
nm0000160,Ethan Hawke
nm0000163,Dustin Hoffman
nm0000164,Anthony Hopkins
nm0000165,Ron Howard
nm0000168,Samuel L. Jackson
nm0000169,Tommy Lee Jones
nm0000172,Harvey Keitel
nm0000174,Val Kilmer
nm0000175,Stephen King
nm0000177,Kevin Kline
nm0000179,Jude Law
nm0000185,Dolph Lundgren
nm0000186,David Lynch
nm0000188,Steve Martin
nm0000190,Matthew McConaughey
nm0000191,Ewan McGregor
nm0000195,Bill Murray
nm0000196,Mike Myers
nm0000197,Jack Nicholson
nm0000198,Gary Oldman
nm0000199,Al Pacino
nm0000200,Bill Paxton
nm0000202,Ryan Phillippe
nm0000203,River Phoenix
nm0000206,Keanu Reeves
