tconst,nconst,character
tt0010323,nm0470328,Dr. Caligari
tt0010323,nm0891998,Cesare
tt0010323,nm0270415,Franzis
tt0010323,nm0903145,Alan
tt0010323,nm0504811,Dr. Olsen
tt0010323,nm0459030,Ein Verbrecher
tt0010323,nm0459030,A Criminal
tt0010323,nm0487085,Ein Alter Mann
tt0010323,nm0487085,An Old Man
tt0010323,nm0676742,Ein Junger Arzt
tt0010323,nm0676742,A Young Doctor
tt0010323,nm0720991,Ein Mörder
tt0010323,nm0720991,A Murderer
tt0012349,nm0000122,A Tramp
tt0012349,nm0001067,The Child
tt0012349,nm0588033,The Man
tt0012349,nm0042317,Car Thief
tt0012349,nm0042317,Man in Shelter
tt0012349,nm0074788,Professor Guido
tt0012349,nm0074788,Night Shelter Keeper
tt0012349,nm0080930,Orphan Asylum Driver
tt0012349,nm0088471,His Assistant
tt0012364,nm0803705,David Holm
tt0012364,nm0841061,Georges
tt0012364,nm0917912,Gustafsson
tt0012364,nm0043509,David's Brother
tt0012364,nm0959818,Driver
tt0012364,nm0014363,Prison Chaplain
tt0013257,nm0159725,Djævlen
tt0013257,nm0159725,The Devil
tt0013257,nm0684773,Heksedommer
tt0013257,nm0684773,Witch Judge (The Young Monk)
tt0013257,nm0834325,Graabroder
tt0013257,nm0834325,Doctor (The Fat Monk)
tt0013257,nm0026172,Chief Inquisitor
tt0013257,nm0720632,Juveler
tt0013257,nm0720632,Jeweler
tt0013427,nm1354245,Nanook
tt0013427,nm0020180,Allegoo - Nanook's Son
tt0013427,nm4752207,Camock - Nanook's Cat
tt0013427,nm0471854,Narrator (1939 re-release)
tt0013442,nm0775180,Graf Orlok
tt0013442,nm0334603,Knock - ein Häusermakler
tt0013442,nm0903194,Hutter
tt0013442,nm0774114,Harding - ein Reeder
tt0013442,nm0098774,Professor Sievers - der Stadtarzt
tt0013442,nm0332024,Professor Bulwer - ein Paracelsianer
tt0013442,nm0625947,Ein Kapitän
tt0013442,nm0374594,1. Matrose
tt0014341,nm0000036,Willie McKay - 21 Years Old
tt0014341,nm0444172,The Engineer
tt0014341,nm0731247,Joseph Canfield
tt0014341,nm0124287,Canfield's 1st Son
tt0014341,nm0172560,The Parson
tt0014341,nm0911469,Canfield's 2nd Son
tt0014341,nm0444167,Willie McKay - 1 Year Old
tt0014341,nm0085919,Canfield's servant
tt0014429,nm0516001,Harold - The Boy
tt0014429,nm0835128,"Bill, The Pal"
tt0014429,nm0949927,The Law
tt0014429,nm0165051,The Floorwalker
tt0014429,nm0045471,Friednly Cop
tt0014429,nm0051704,Man in strawboater hat
tt0014429,nm0112234,Man Laughing from Window
tt0014429,nm0153713,Bystander at climbing
tt0014429,nm0172560,Laundry truck driver
tt0015064,nm0417837,Hotelportier
tt0015064,nm0384897,Ihr Bräutigam [Her Bridegroom
tt0015064,nm0007207,Geschäftsführer [Hotel Manager
tt0015064,nm0832605,Junger Gast [Young Guest
tt0015064,nm0885030,Spitzbäuchiger Gast [Potbellied Guest
tt0015064,nm0313308,Nachtwächter [Night Watchman
tt0015064,nm0368394,Small Role
tt0015163,nm0000036,Rollo Treadway
tt0015163,nm0089162,John O'Brien
tt0015163,nm0123548,Spy
tt0015163,nm0167320,Spy
tt0015163,nm0425903,Cannibal Chief
tt0015324,nm0000036,Projectionist
tt0015324,nm0000036,"Sherlock, Jr."
tt0015324,nm0444172,The Girl's Father
tt0015324,nm0444172,Man on Film Screen
tt0015324,nm0175068,The Hired Man
tt0015324,nm0175068,The Butler
tt0015324,nm0186440,The Local Sheik
tt0015324,nm0186440,The Villain
tt0015324,nm0204639,Conspirator
tt0015648,nm0031446,Grigory Vakulinchuk
tt0015648,nm0058290,Commander Golikov
tt0015648,nm0017893,Chief Officer Giliarovsky
tt0015648,nm0090434,Young Sailor Flogged While Sleeping
tt0015648,nm0327150,Militant Sailor
tt0015648,nm0506298,Petty Officer
tt0015648,nm1158915,Student Agitator
tt0015864,nm0000122,The Lone Prospector
tt0015864,nm0841501,Big Jim McKay
tt0015864,nm0615306,Black Larsen
tt0015864,nm0074788,Hank Curtis
tt0015864,nm0906618,Jack Cameron
tt0015864,nm1033900,Man in Dance Hall
tt0015864,nm1027682,Eskimo Child
tt0015881,nm0332998,McTeague
tt0015881,nm0380965,Marcus
tt0015881,nm0174682,'Popper' Sieppe
tt0015881,nm0055294,The Minister
tt0016220,nm0151606,The Phantom
tt0016220,nm0449908,Vicomte Raoul de Chagny
tt0016220,nm0136886,Ledoux
tt0016220,nm0332998,Simon Buquet
tt0016220,nm0820821,Comte Philip de Chagny
tt0016220,nm0250366,Florine Papillon
tt0016332,nm0000036,James Shannon
tt0016332,nm0055797,His Partner
tt0016332,nm0250366,His Lawyer
tt0016332,nm0175068,The Clergyman
tt0016332,nm0184801,The Hired Hand
tt0016847,nm0252472,Faust
tt0016847,nm0417837,Mephisto
tt0016847,nm0226189,Valentin
tt0016847,nm0054044,Herzog
tt0016847,nm0297529,Erzengel
tt0016847,nm0105970,Farmboy
tt0017075,nm0637040,The Lodger
tt0017075,nm0156241,Her Husband
tt0017075,nm0444602,Joe - A Police Detective
tt0017075,nm0306786,Dancer at Ball
tt0017075,nm0000033,Extra in Newspaper Office
tt0017136,nm0002154,Johann (Joh) Fredersen
tt0017136,nm0297054,Freder Fredersen - Joh Fredersens Sohn
tt0017136,nm0459030,Erfinder C.A. Rotwang
tt0017136,nm0459030,The Inventor
tt0017136,nm0003248,Der Schmale
tt0017136,nm0003248,The Thin Man
tt0017136,nm0519765,Josaphat
tt0017136,nm0519765,Joseph
tt0017136,nm0084430,11811 - Georgy
tt0017136,nm0313447,Grot -Wärter der Herzmaschine
tt0017136,nm0313447,Guardian of the Heart Machine
tt0017136,nm0016641,Schöpferischer Mensch
tt0017136,nm0016641,Creative Human
tt0017925,nm0000036,Johnnie Gray
tt0017925,nm0147070,Captain Anderson
tt0017925,nm0267650,General Thatcher
tt0017925,nm0089162,A Southern General
tt0017925,nm1070961,Her Brother
tt0017925,nm0807667,Her Father
tt0017925,nm0444172,Union General
tt0017925,nm0232592,Union General
tt0017925,nm0623189,Union General
tt0018037,nm0427231,Jakie Rabinowitz
tt0018037,nm0645941,The Cantor
tt0018037,nm0496470,Moisha Yudelson
tt0018037,nm0330036,Jakie Rabinowitz - Age 13
tt0018037,nm0875983,Harry Lee
tt0018037,nm0742390,Cantor Rosenblatt - Concert Recital
tt0018455,nm0639563,The Man
tt0018455,nm0531759,The Photographer
tt0018455,nm0802684,The Barber
tt0018455,nm0396768,The Obtrusive Gentleman
tt0018455,nm0092665,The Obliging Gentleman
tt0018455,nm0082884,Streetcar Conductor
tt0018578,nm0736777,Jack Powell
tt0018578,nm0035159,David Armstrong
tt0018578,nm0107151,Herman Schwimpf
tt0018578,nm0875983,Air Commander
tt0018578,nm0000011,Cadet White
tt0018578,nm0808387,The Sergeant
tt0018578,nm0910400,David's Father
tt0018578,nm0439850,Lt. Cameron
tt0018737,nm0466776,Dr. Ludwig Schön
tt0018737,nm0496473,Alwa Schön
tt0018737,nm0324501,Schigolch
tt0018737,nm0469172,Rodrigo Quast
tt0018737,nm0226158,Jack the Ripper
tt0018737,nm0902760,Marquis Casti-Piani
tt0018737,nm0036324,Der inspizient - the Stage Manager
tt0018742,nm0000036,Buster
tt0018742,nm0329467,Stagg
tt0018742,nm0102718,Editor
tt0018742,nm0340807,Cop
tt0018742,nm0018685,The Big Sea Lion
tt0018742,nm0112395,Man in Bath-House
tt0018742,nm0177485,Office Worker
tt0018742,nm0219783,Man in Tight Bathing Suit
tt0018773,nm0000122,A Tramp
tt0018773,nm0305087,The Circus Proprietor and Ring Master
tt0018773,nm0188357,Rex - A Tight Rope Walker
tt0018773,nm0204639,A Magician
tt0018773,nm0074788,An Old Clown
tt0018773,nm0761866,The Head Property Man
tt0018773,nm0709466,An Assistant Property Man
tt0018773,nm0614730,A Pickpocket
tt0018773,nm0042317,Clown
tt0019254,nm0798564,Évêque Pierre Cauchon (Bishop Pierre Cauchon)
tt0019254,nm0075551,Jean d'Estivet
tt0019254,nm0776914,Nicolas Loyseleur
tt0019254,nm0037625,Jean Massieu
tt0019254,nm0800302,Jean Lemaître
tt0019254,nm0195956,Guillaume Evrard
tt0019254,nm0712416,Jean Beaupère
tt0019254,nm0527127,Juge (Judge)
tt0019254,nm0036307,Juge (Judge)
tt0019421,nm0000036,William Canfield Jr.
tt0019421,nm0570297,J.J. King
tt0019421,nm0868458,William 'Steamboat Bill' Canfield
tt0019421,nm0507827,Tom Carter - First and Last Mate
tt0019421,nm0533006,Minister
tt0019421,nm0922068,Barber
tt0019702,nm0519274,Detective Frank Webber
tt0019702,nm0665715,Mr. White
tt0019702,nm0130740,Tracy
tt0019702,nm0728509,The Artist
tt0019702,nm0102607,The Chief Inspector (sound version)
tt0019702,nm0084051,The Detective Sergeant
tt0019702,nm1256418,Boy
tt0019760,nm0442227,The Cameraman
tt0020629,nm0000817,Paul
tt0020629,nm0938464,Kat
tt0020629,nm0942046,Himmelstoss
tt0020629,nm0524803,Kantorek
tt0020629,nm0018273,Kemmerich
tt0020629,nm0464131,Leer
tt0020629,nm0204113,Peter
tt0020629,nm0737253,Behn
tt0020629,nm0049055,Albert
tt0020629,nm0322345,Mueller
tt0020640,nm0000050,Captain Geoffrey T. Spaulding
tt0020640,nm0555617,The Professor
tt0020640,nm0555597,Signor Emanuel Ravelli
tt0020640,nm2580347,\N
tt0020640,nm0555688,Horatio Jamison
tt0020640,nm0815049,Roscoe W. Chandler
tt0020640,nm0860191,John Parker
tt0020697,nm0417837,Professor Immanuel Rath
tt0020697,nm0314777,"Kiepert, Zauberkünstler"
tt0020697,nm0002161,Mazeppa
tt0020697,nm0077175,Der Clown
tt0020697,nm0903235,Der Schuldirektor
tt0020697,nm0744858,Der Pedell
tt0020697,nm0618296,Angst
tt0020697,nm0890131,Lohmann
tt0021079,nm0000064,Caesar Enrico 'Rico' Bandello
tt0021079,nm0000064,'Little Caesar'
tt0021079,nm0001195,Joe Massara
tt0021079,nm0171873,Tony Passa
tt0021079,nm0085782,Big Boy
tt0021079,nm0408433,Pete Montana
tt0021079,nm0414090,Sgt. Flaherty
tt0021079,nm0276354,Sam Vettori
tt0021079,nm0085427,Little Arnie Lorch
tt0021079,nm0831889,Otero
tt0021577,nm0595321,The Man
tt0021577,nm0259722,Bandit Leader in the Hut
tt0021577,nm0037886,Governor
tt0021577,nm0758004,Duke of Blangis
tt0021577,nm0239785,Orchestra Conductor
tt0021577,nm0406390,Marquis of X
tt0021577,nm0042179,Bandit
tt0021749,nm0000122,A Tramp
tt0021749,nm0616729,An Eccentric Millionaire
tt0021749,nm0305087,The Millionaire's Butler
tt0021749,nm0003424,A Prizefighter
tt0021749,nm0008609,Newsboy
tt0021749,nm1033905,Boxing Match Spectator
tt0021749,nm1035024,Doctor
tt0021749,nm1033907,Superstitious Boxer
tt0021814,nm0000509,Count Dracula
tt0021814,nm0543115,John Harker
tt0021814,nm0296859,Renfield
tt0021814,nm0888000,Van Helsing
tt0021814,nm0120557,Doctor Seward
tt0021814,nm0314699,Martin
tt0021884,nm0166972,Henry Frankenstein
tt0021884,nm0000472,The Monster
tt0021884,nm0092900,Victor Moritz
tt0021884,nm0888000,Doctor Waldman
tt0021884,nm0449694,Baron Frankenstein
tt0021884,nm0296859,Fritz
tt0021884,nm0069373,The Burgomaster
tt0021884,nm0082501,Villager
tt0022100,nm0000048,Hans Beckert
tt0022100,nm0921532,Inspector Karl Lohmann
tt0022100,nm0519765,Inspector Groeber
tt0022100,nm0345073,Schränker
tt0022100,nm0323479,Franz
tt0022100,nm0643997,The Cheater
tt0022100,nm0447349,Pickpocket with Six Watches
tt0022100,nm0003586,Bauernfänger
tt0022158,nm0000050,Groucho
tt0022158,nm0555617,Harpo
tt0022158,nm2580347,The Four Stowaways
tt0022158,nm0555597,Chico
tt0022158,nm0555688,Zeppo
tt0022158,nm0271503,Joe Helton
tt0022158,nm0940617,Briggs
tt0022158,nm0448366,Gibson
tt0022286,nm0000010,Tom Powers
tt0022286,nm0940589,Matt Doyle
