tconst,nconst,characterName
tt0010323,nm0470328,Dr. Caligari
tt0010323,nm0891998,Cesare
tt0010323,nm0270415,Franzis
tt0010323,nm0196820,Jane Olsen
tt0010323,nm0903145,Alan
tt0010323,nm0504811,Dr. Olsen
tt0010323,nm0459030,Ein Verbrecher
tt0010323,nm0459030,A Criminal
tt0010323,nm0487085,Ein Alter Mann
tt0010323,nm0487085,An Old Man
tt0010323,nm0676742,Ein Junger Arzt
tt0010323,nm0676742,A Young Doctor
tt0010323,nm0720991,Ein Mörder
tt0010323,nm0720991,A Murderer
tt0012349,nm0000122,A Tramp
tt0012349,nm0701012,The Woman
tt0012349,nm0001067,The Child
tt0012349,nm0588033,The Man
tt0012349,nm0042317,Car Thief
tt0012349,nm0042317,Man in Shelter
tt0012349,nm0047800,Bride
tt0012349,nm0048798,Slum Nurse
tt0012349,nm0074788,Professor Guido
tt0012349,nm0074788,Night Shelter Keeper
tt0012349,nm0080930,Orphan Asylum Driver
tt0012349,nm0088471,His Assistant
tt0012364,nm0803705,David Holm
tt0012364,nm0096737,Mrs. Holm
tt0012364,nm0841061,Georges
tt0012364,nm0391474,Edit
tt0012364,nm0782943,Edit's Mother
tt0012364,nm0526479,Maria
tt0012364,nm0917912,Gustafsson
tt0012364,nm0043509,David's Brother
tt0012364,nm0959818,Driver
tt0012364,nm0014363,Prison Chaplain
tt0013257,nm0159725,Djævlen
tt0013257,nm0159725,The Devil
tt0013257,nm0159770,En ældre bondekone
tt0013257,nm0159770,Older Farm Lady
tt0013257,nm0669922,Heksen
tt0013257,nm0669922,The Witch
tt0013257,nm0690702,Nonne
tt0013257,nm0690702,Nun
tt0013257,nm0684773,Heksedommer
tt0013257,nm0684773,Witch Judge (The Young Monk)
tt0013257,nm0834325,Graabroder
tt0013257,nm0834325,Doctor (The Fat Monk)
tt0013257,nm0854189,En hysterisk kvinde
tt0013257,nm0854189,Modern Hysteric (The Kleptomaniac)
tt0013257,nm0026172,Chief Inquisitor
tt0013257,nm0720632,Juveler
tt0013257,nm0720632,Jeweler
tt0013257,nm0936038,Anna's Sister
tt0013427,nm1354245,Nanook
tt0013427,nm0638725,Nanook's Wife - the Smiling One
tt0013427,nm0192066,Cunayou - Nanook's Daughter
tt0013427,nm0020180,Allegoo - Nanook's Son
tt0013427,nm4752207,Camock - Nanook's Cat
tt0013427,nm0471854,Narrator (1939 re-release)
tt0013442,nm0775180,Graf Orlok
tt0013442,nm0334603,Knock - ein Häusermakler
tt0013442,nm0903194,Hutter
tt0013442,nm0775659,Ellen - seine Frau
tt0013442,nm0774114,Harding - ein Reeder
tt0013442,nm0485146,Ruth - seine Schwester
tt0013442,nm0098774,Professor Sievers - der Stadtarzt
tt0013442,nm0332024,Professor Bulwer - ein Paracelsianer
tt0013442,nm0625947,Ein Kapitän
tt0013442,nm0374594,1. Matrose
tt0014341,nm0000036,Willie McKay - 21 Years Old
tt0014341,nm0848231,Virginia Canfield
tt0014341,nm0444172,The Engineer
tt0014341,nm0731247,Joseph Canfield
tt0014341,nm0124287,Canfield's 1st Son
tt0014341,nm0172560,The Parson
tt0014341,nm0911469,Canfield's 2nd Son
tt0014341,nm0102901,The Aunt
tt0014341,nm0444167,Willie McKay - 1 Year Old
tt0014341,nm0085919,Canfield's servant
tt0014429,nm0516001,Harold - The Boy
tt0014429,nm0205192,"Mildred, The Girl"
tt0014429,nm0835128,"Bill, The Pal"
tt0014429,nm0949927,The Law
tt0014429,nm0165051,The Floorwalker
tt0014429,nm0045471,Friednly Cop
tt0014429,nm0051704,Man in strawboater hat
tt0014429,nm0112234,Man Laughing from Window
tt0014429,nm0153713,Bystander at climbing
tt0014429,nm0172560,Laundry truck driver
tt0015064,nm0417837,Hotelportier
tt0015064,nm0217848,Seine Nichte [His Niece
tt0015064,nm0384897,Ihr Bräutigam [Her Bridegroom
tt0015064,nm0476130,Tante des Bräutigams [Bridegroom's Aunt
tt0015064,nm0007207,Geschäftsführer [Hotel Manager
tt0015064,nm0832605,Junger Gast [Young Guest
tt0015064,nm0885030,Spitzbäuchiger Gast [Potbellied Guest
tt0015064,nm0313308,Nachtwächter [Night Watchman
tt0015064,nm0943644,Dünne Nachbarin [Thin Neighbor
tt0015064,nm0368394,Small Role
tt0015324,nm0000036,Projectionist
tt0015324,nm0000036,"Sherlock, Jr."
tt0015324,nm0570230,The Girl
tt0015324,nm0444172,The Girl's Father
tt0015324,nm0444172,Man on Film Screen
tt0015324,nm0175068,The Hired Man
tt0015324,nm0175068,The Butler
tt0015324,nm0186440,The Local Sheik
tt0015324,nm0186440,The Villain
tt0015324,nm0175075,The Mother
tt0015324,nm0204639,Conspirator
tt0015324,nm0213009,Girl Who Loses Dollar Outside Cinema
tt0015324,nm1537375,Candy Store Girl
tt0015324,nm0386808,Little Girl
tt0015648,nm0031446,Grigory Vakulinchuk
tt0015648,nm0058290,Commander Golikov
tt0015648,nm0017893,Chief Officer Giliarovsky
tt0015648,nm0090434,Young Sailor Flogged While Sleeping
tt0015648,nm0327150,Militant Sailor
tt0015648,nm0506298,Petty Officer
tt0015648,nm0689869,Woman With Pince-nez
tt0015648,nm1158915,Student Agitator
tt0015648,nm1160085,Mother Carrying Wounded Boy
tt0015648,nm1159058,Wounded Boy
tt0015864,nm0000122,The Lone Prospector
tt0015864,nm0841501,Big Jim McKay
tt0015864,nm0615306,Black Larsen
tt0015864,nm0074788,Hank Curtis
tt0015864,nm0906618,Jack Cameron
tt0015864,nm0354913,Georgia
tt0015864,nm1033900,Man in Dance Hall
tt0015864,nm1027682,Eskimo Child
tt0015864,nm1027683,Eskimo Child
tt0015864,nm0012447,Woman in Dance Hall
tt0016220,nm0151606,The Phantom
tt0016220,nm0679907,Christine Daae
tt0016220,nm0449908,Vicomte Raoul de Chagny
tt0016220,nm0136886,Ledoux
tt0016220,nm0332998,Simon Buquet
tt0016220,nm0820821,Comte Philip de Chagny
tt0016220,nm0250366,Florine Papillon
tt0016220,nm0264575,Carlotta
tt0016220,nm0669410,Carlotta
tt0016220,nm0669410,Carlotta's Mother
tt0016220,nm13012653,Undetermined Secondary Role
tt0016847,nm0252472,Faust
tt0016847,nm0417837,Mephisto
tt0016847,nm0394806,Gretchen
tt0016847,nm0723801,Mutter
tt0016847,nm0226189,Valentin
tt0016847,nm0346914,Marthe
tt0016847,nm0054044,Herzog
tt0016847,nm0707765,Herzogin
tt0016847,nm0297529,Erzengel
tt0016847,nm0105970,Farmboy
tt0017075,nm0385062,Daisy - A Mannequin
tt0017075,nm0637040,The Lodger
tt0017075,nm0042083,The Landlady
tt0017075,nm0156241,Her Husband
tt0017075,nm0444602,Joe - A Police Detective
tt0017075,nm0132351,Mother
tt0017075,nm0242283,First Victim
tt0017075,nm0306786,Dancer at Ball
tt0017075,nm0336618,Showgirl Victim
tt0017075,nm0000033,Extra in Newspaper Office
tt0017136,nm0375609,Maria
tt0017136,nm0375609,Maschinenmensch
tt0017136,nm0375609,The Machine Man
tt0017136,nm0002154,Johann (Joh) Fredersen
tt0017136,nm0297054,Freder Fredersen - Joh Fredersens Sohn
tt0017136,nm0459030,Erfinder C.A. Rotwang
tt0017136,nm0459030,The Inventor
tt0017136,nm0003248,Der Schmale
tt0017136,nm0003248,The Thin Man
tt0017136,nm0519765,Josaphat
tt0017136,nm0519765,Joseph
tt0017136,nm0084430,11811 - Georgy
tt0017136,nm0313447,Grot -Wärter der Herzmaschine
tt0017136,nm0313447,Guardian of the Heart Machine
tt0017136,nm0016641,Schöpferischer Mensch
tt0017136,nm0016641,Creative Human
tt0017136,nm0074186,Arbeiterin
tt0017136,nm0074186,Working Woman
tt0017925,nm0000036,Johnnie Gray
tt0017925,nm0533045,Annabelle Lee
tt0017925,nm0147070,Captain Anderson
tt0017925,nm0267650,General Thatcher
tt0017925,nm0089162,A Southern General
tt0017925,nm1070961,Her Brother
tt0017925,nm0807667,Her Father
tt0017925,nm0444172,Union General
tt0017925,nm0232592,Union General
tt0017925,nm0623189,Union General
tt0018455,nm0639563,The Man
tt0018455,nm0310980,The Wife
tt0018455,nm0515272,The Woman From the City
tt0018455,nm0743017,The Maid
tt0018455,nm0531759,The Photographer
tt0018455,nm0802684,The Barber
tt0018455,nm0936079,The Manicure Girl
tt0018455,nm0396768,The Obtrusive Gentleman
tt0018455,nm0092665,The Obliging Gentleman
tt0018455,nm0082884,Streetcar Conductor
tt0018578,nm0001966,Mary Preston
tt0018578,nm0736777,Jack Powell
tt0018578,nm0035159,David Armstrong
tt0018578,nm0707814,Sylvia Lewis
tt0018578,nm0107151,Herman Schwimpf
tt0018578,nm0875983,Air Commander
tt0018578,nm0000011,Cadet White
tt0018578,nm0808387,The Sergeant
tt0018578,nm0910400,David's Father
tt0018578,nm0439850,Lt. Cameron
tt0018742,nm0000036,Buster
tt0018742,nm0206496,Sally
tt0018742,nm0329467,Stagg
tt0018742,nm0102718,Editor
tt0018742,nm0340807,Cop
tt0018742,nm0018685,The Big Sea Lion
tt0018742,nm0112395,Man in Bath-House
tt0018742,nm0177485,Office Worker
tt0018742,nm0219783,Man in Tight Bathing Suit
tt0018742,nm0249177,Gertrude Ederle
tt0018773,nm0000122,A Tramp
tt0018773,nm0448224,The Proprietor's Step-Daughter Merna - A Circus Rider
tt0018773,nm0305087,The Circus Proprietor and Ring Master
tt0018773,nm0188357,Rex - A Tight Rope Walker
tt0018773,nm0204639,A Magician
tt0018773,nm0074788,An Old Clown
tt0018773,nm0761866,The Head Property Man
tt0018773,nm0709466,An Assistant Property Man
tt0018773,nm0614730,A Pickpocket
tt0018773,nm0042317,Clown
tt0019254,nm0266029,Jeanne d'Arc
tt0019254,nm0798564,Évêque Pierre Cauchon (Bishop Pierre Cauchon)
tt0019254,nm0075551,Jean d'Estivet
tt0019254,nm0776914,Nicolas Loyseleur
tt0019254,nm0037625,Jean Massieu
tt0019254,nm0800302,Jean Lemaître
tt0019254,nm0195956,Guillaume Evrard
tt0019254,nm0712416,Jean Beaupère
tt0019254,nm0527127,Juge (Judge)
tt0019254,nm0036307,Juge (Judge)
tt0019421,nm0000036,William Canfield Jr.
tt0019421,nm0570297,J.J. King
tt0019421,nm0868458,William 'Steamboat Bill' Canfield
tt0019421,nm0507827,Tom Carter - First and Last Mate
tt0019421,nm0126410,Kitty King - King's Daughter
tt0019421,nm0533006,Minister
tt0019421,nm0922068,Barber
tt0019760,nm0442227,The Cameraman
tt0019760,nm0841294,Woman editing film
tt0020629,nm0000817,Paul
tt0020629,nm0938464,Kat
tt0020629,nm0942046,Himmelstoss
tt0020629,nm0524803,Kantorek
tt0020629,nm0018273,Kemmerich
tt0020629,nm0464131,Leer
tt0020629,nm0204113,Peter
tt0020629,nm0737253,Behn
tt0020629,nm0049055,Albert
tt0020629,nm0322345,Mueller
tt0020640,nm0000050,Captain Geoffrey T. Spaulding
tt0020640,nm0555617,The Professor
tt0020640,nm0555597,Signor Emanuel Ravelli
tt0020640,nm2580347,\N
tt0020640,nm0555688,Horatio Jamison
tt0020640,nm0744917,Arabella Rittenhouse
tt0020640,nm0241669,Mrs. Rittenhouse
tt0020640,nm0815049,Roscoe W. Chandler
tt0020640,nm0860191,John Parker
tt0020640,nm0410303,Mrs. Whitehead
tt0020697,nm0417837,Professor Immanuel Rath
tt0020697,nm0000017,Lola Lola
tt0020697,nm0314777,"Kiepert, Zauberkünstler"
tt0020697,nm0884665,"Guste, seine Frau"
tt0020697,nm0002161,Mazeppa
tt0020697,nm0077175,Der Clown
tt0020697,nm0903235,Der Schuldirektor
tt0020697,nm0744858,Der Pedell
tt0020697,nm0618296,Angst
tt0020697,nm0890131,Lohmann
tt0021079,nm0000064,Caesar Enrico 'Rico' Bandello
tt0021079,nm0000064,'Little Caesar'
tt0021079,nm0001195,Joe Massara
tt0021079,nm0268225,Olga Stassoff
tt0021079,nm0171873,Tony Passa
tt0021079,nm0085782,Big Boy
tt0021079,nm0408433,Pete Montana
tt0021079,nm0414090,Sgt. Flaherty
tt0021079,nm0276354,Sam Vettori
tt0021079,nm0085427,Little Arnie Lorch
tt0021079,nm0831889,Otero
