tconst,nconst
tt0010323,nm0927468
tt0012349,nm0000122
tt0012364,nm0803705
tt0013257,nm0159725
tt0013427,nm0280904
tt0013442,nm0003638
tt0014341,nm0090007
tt0014341,nm0000036
tt0014429,nm0628345
tt0014429,nm0853130
tt0015064,nm0003638
tt0015324,nm0000036
tt0015648,nm0001178
tt0015864,nm0000122
tt0016220,nm0432216
tt0016220,nm0151606
tt0016220,nm0480677
tt0016220,nm0781292
tt0016847,nm0003638
tt0017075,nm0000033
tt0017136,nm0000485
tt0017925,nm0115669
tt0017925,nm0000036
tt0018455,nm0003638
tt0018578,nm0920074
tt0018578,nm0195496
tt0018742,nm0781292
tt0018742,nm0000036
tt0018773,nm0000122
tt0019254,nm0003433
tt0019421,nm0718469
tt0019421,nm0000036
tt0019760,nm0895048
tt0020629,nm0587277
tt0020640,nm0373511
tt0020697,nm0903049
tt0021079,nm0503777
tt0021577,nm0000320
tt0021749,nm0000122
tt0021814,nm0115218
tt0021814,nm0005713
tt0021884,nm0001843
tt0022100,nm0000485
tt0022158,nm0572851
tt0022286,nm0920074
tt0022835,nm0541149
tt0022913,nm0115218
tt0022958,nm0332539
tt0023027,nm0572851
tt0023042,nm0503777
tt0023238,nm0681635
tt0023238,nm0774325
tt0023245,nm0005713
tt0023427,nm0001328
tt0023427,nm0744514
tt0023563,nm0000485
tt0023622,nm0523932
tt0023649,nm0003433
tt0023969,nm0564970
tt0024034,nm0045800
tt0024184,nm0001843
tt0024216,nm0178260
tt0024216,nm0774325
tt0024844,nm0897118
tt0025316,nm0001008
tt0025452,nm0000033
tt0025878,nm0886754
tt0025913,nm0726166
tt0026029,nm0000033
tt0026138,nm0001843
tt0026174,nm0002031
tt0026752,nm0515979
tt0026778,nm0939992
tt0026778,nm0332539
tt0027125,nm0762263
tt0027652,nm0000485
tt0027977,nm0000122
tt0027996,nm0001008
tt0028010,nm0478441
tt0028096,nm0562845
tt0028212,nm0000033
tt0028333,nm0828419
tt0028597,nm0564970
tt0028772,nm0939992
tt0028950,nm0719756
tt0029162,nm0001008
tt0029583,nm0183183
tt0029583,nm0359457
tt0029583,nm0414144
tt0029583,nm0604392
tt0029583,nm0668998
tt0029583,nm0789313
tt0029843,nm0002031
tt0029843,nm0445033
tt0029850,nm0001178
tt0029850,nm0890565
tt0029870,nm0002031
tt0029947,nm0001328
tt0030241,nm0002030
tt0030287,nm0943758
tt0030341,nm0000033
tt0030993,nm0001008
tt0031210,nm0332539
tt0031225,nm0550892
tt0031381,nm0281808
tt0031381,nm0002030
tt0031381,nm0939992
tt0031398,nm0828419
tt0031455,nm0226189
tt0031679,nm0001008
tt0031725,nm0523932
tt0031762,nm0001328
tt0031867,nm0909825
tt0031885,nm0719756
tt0031971,nm0000406
tt0032138,nm0281808
tt0032138,nm0896542
tt0032143,nm0002030
tt0032145,nm0943758
tt0032455,nm0019282
tt0032455,nm0035899
tt0032455,nm1968474
tt0032455,nm0272568
tt0032455,nm0359457
tt0032455,nm0359610
tt0032455,nm0373429
tt0032455,nm0414144
tt0032455,nm0527217
tt0032455,nm0730860
tt0032455,nm0766402
tt0032455,nm0789313
tt0032484,nm0000033
tt0032551,nm0000406
tt0032553,nm0000122
tt0032599,nm0001328
tt0032701,nm0943758
tt0032904,nm0002030
tt0032910,nm0272568
tt0032910,nm0373429
tt0032910,nm0414144
tt0032910,nm0455741
tt0032910,nm0527217
tt0032910,nm0730860
tt0032910,nm0789313
tt0032976,nm0000033
tt0033045,nm0523932
tt0033152,nm0003490
tt0033152,nm0003836
tt0033152,nm0924065
tt0033152,nm0466099
tt0033152,nm0466113
tt0033152,nm0580017
tt0033373,nm0001328
tt0033467,nm0000080
tt0033563,nm0035899
tt0033563,nm0272568
tt0033563,nm0414144
tt0033563,nm0455741
tt0033563,nm0730860
tt0033563,nm0789313
tt0033563,nm0254675
tt0033717,nm0909825
tt0033729,nm0000406
tt0033804,nm0002545
tt0033836,nm0943758
tt0033870,nm0001379
tt0033891,nm0001008
tt0034167,nm0001328
tt0034240,nm0002545
tt0034248,nm0000033
tt0034398,nm0905729
tt0034492,nm0019282
tt0034492,nm0035899
tt0034492,nm0359457
tt0034492,nm0373871
tt0034492,nm0730860
tt0034492,nm0766402
tt0034492,nm0942687
tt0034492,nm0204190
tt0034492,nm0314671
tt0034583,nm0002031
tt0034587,nm0869664
tt0034862,nm0762263
tt0034862,nm0020980
tt0035015,nm0000080
tt0035015,nm0281381
tt0035015,nm0936404
tt0035093,nm0943758
tt0035140,nm0710924
tt0035169,nm0002545
tt0035279,nm0000033
tt0035423,nm0003506
tt0035446,nm0523932
tt0035575,nm0002031
tt0036027,nm0869664
tt0036112,nm0003836
tt0036112,nm0696247
tt0036244,nm0920074
tt0036342,nm0000033
tt0036613,nm0001008
tt0036775,nm0000697
tt0036855,nm0002030
tt0036868,nm0943758
tt0036872,nm0564970
tt0037008,nm0695937
tt0037008,nm0541149
tt0037017,nm0000033
tt0037059,nm0591486
tt0037101,nm0229424
tt0037382,nm0001328
tt0037469,nm0000485
tt0037515,nm0163229
tt0037558,nm0000180
tt0037635,nm0146709
tt0037635,nm0187769
tt0037635,nm0213136
tt0037635,nm0357607
tt0037638,nm0880618
tt0037674,nm0138893
tt0037865,nm0821472
tt0037884,nm0000697
tt0037913,nm0002031
tt0037988,nm0506797
tt0038057,nm0000485
tt0038109,nm0000033
tt0038166,nm0272568
tt0038166,nm0314671
tt0038166,nm0455741
tt0038166,nm0730860
tt0038166,nm0949597
tt0038348,nm0168413
tt0038348,nm0167496
tt0038355,nm0001328
tt0038559,nm0896533
tt0038574,nm0000180
tt0038650,nm0001008
tt0038669,nm0802563
tt0038733,nm0003836
tt0038733,nm0696247
tt0038762,nm0000406
tt0038787,nm0000033
tt0038854,nm0307819
tt0038890,nm0744023
tt0038969,nm0287836
tt0038969,nm0414144
tt0038991,nm0000080
tt0039190,nm0467396
tt0039192,nm0003836
tt0039192,nm0696247
tt0039302,nm0202681
tt0039416,nm0001415
tt0039417,nm0744023
tt0039420,nm0000581
tt0039628,nm0780833
tt0039631,nm0000122
tt0039689,nm0869664
tt0039694,nm0000033
tt0040068,nm0059106
tt0040068,nm0487237
tt0040369,nm0000406
tt0040416,nm0000059
tt0040506,nm0001379
tt0040522,nm0001120
tt0040525,nm0000080
tt0040536,nm0649097
tt0040613,nm0693281
tt0040636,nm0202088
tt0040662,nm0000180
tt0040724,nm0001328
tt0040724,nm0744504
tt0040725,nm0003836
tt0040725,nm0696247
tt0040746,nm0000033
tt0040897,nm0001379
tt0041090,nm0002030
tt0041094,nm0019282
tt0041094,nm0314671
tt0041094,nm0455741
tt0041113,nm0744035
tt0041154,nm0654868
tt0041452,nm0943758
tt0041546,nm0357607
tt0041699,nm0000041
tt0041716,nm0002045
tt0041716,nm0000037
tt0041719,nm0168413
tt0041866,nm0000406
tt0041959,nm0715346
tt0041996,nm0454771
tt0042041,nm0909825
tt0042192,nm0000581
tt0042208,nm0001379
tt0042276,nm0002030
tt0042332,nm0314671
tt0042332,nm0414144
tt0042332,nm0527217
tt0042369,nm0005789
tt0042451,nm0591486
tt0042530,nm0507390
tt0042546,nm0467396
tt0042593,nm0712947
tt0042788,nm0202088
tt0042804,nm0000320
tt0042876,nm0000041
tt0042895,nm0000406
tt0042994,nm0000033
tt0043014,nm0000697
tt0043137,nm0542649
tt0043265,nm0001379
tt0043274,nm0314671
tt0043274,nm0414144
tt0043274,nm0527217
tt0043274,nm0455741
tt0043278,nm0591486
tt0043338,nm0000697
tt0043456,nm0936404
tt0043686,nm0167496
tt0043924,nm0828419
tt0043949,nm0503777
tt0043949,nm0542649
tt0044008,nm0221423
tt0044079,nm0000033
tt0044081,nm0001415
tt0044121,nm0638528
tt0044121,nm0001328
tt0044391,nm0591486
tt0044672,nm0001124
tt0044706,nm0003593
tt0044741,nm0000041
tt0044829,nm0187769
tt0044837,nm0000122
tt0044916,nm0001328
tt0044953,nm0542649
tt0045061,nm0000406
tt0045152,nm0002045
tt0045152,nm0000037
tt0045274,nm0001120
tt0045296,nm0001415
tt0045537,nm0591486
tt0045555,nm0000485
tt0045793,nm0003593
tt0045810,nm0001328
tt0045888,nm0211964
tt0045891,nm0624535
tt0045897,nm0000033
tt0045943,nm0000581
tt0046126,nm0368871
tt0046183,nm0314671
tt0046183,nm0414144
tt0046183,nm0527217
tt0046183,nm0455741
tt0046187,nm0002087
tt0046250,nm0943758
tt0046268,nm0167241
tt0046303,nm0828419
tt0046345,nm0000005
tt0046359,nm0000697
tt0046438,nm0654868
tt0046478,nm0003226
tt0046487,nm0004244
tt0046521,nm0000019
tt0046534,nm0005738
tt0046672,nm0281507
tt0046816,nm0229424
tt0046876,nm0000791
tt0046911,nm0167241
tt0046912,nm0000033
tt0047034,nm0393094
tt0047136,nm0712947
tt0047296,nm0001415
tt0047396,nm0000033
tt0047422,nm0695937
tt0047422,nm0624535
tt0047437,nm0000697
tt0047445,nm0003226
tt0047472,nm0002045
tt0047478,nm0000041
tt0047522,nm0002030
tt0047528,nm0000019
tt0047573,nm0235066
tt0047673,nm0002031
tt0047677,nm0070670
tt0047811,nm0802862
tt0047834,nm0060742
tt0047834,nm0354691
tt0047849,nm0836328
tt0047892,nm0578483
tt0048021,nm0202088
tt0048028,nm0001415
tt0048140,nm0000581
tt0048254,nm0000040
tt0048261,nm0000736
tt0048280,nm0314671
tt0048280,nm0414144
tt0048280,nm0527217
tt0048280,nm0194018
tt0048281,nm0533241
tt0048356,nm0542720
tt0048380,nm0000406
tt0048380,nm0503777
tt0048380,nm0517597
tt0048424,nm0001452
tt0048445,nm0003593
tt0048452,nm0003433
tt0048545,nm0712947
tt0048605,nm0000697
tt0048641,nm0000005
tt0048728,nm0000033
tt0048750,nm0000033
tt0048960,nm0027183
tt0048960,nm0268513
tt0048977,nm0503777
tt0049038,nm0517597
tt0049096,nm0291035
tt0049096,nm0659085
tt0049223,nm0928208
tt0049261,nm0828419
tt0049314,nm0910199
tt0049366,nm0796923
tt0049406,nm0000040
tt0049408,nm0485943
tt0049456,nm0591486
tt0049456,nm0002030
tt0049470,nm0000033
tt0049513,nm0001379
tt0049730,nm0000406
tt0049833,nm0001124
tt0049902,nm0000975
tt0049966,nm0802862
tt0050083,nm0001486
tt0050086,nm0202681
tt0050105,nm0564970
tt0050212,nm0000180
tt0050371,nm0001415
tt0050419,nm0002045
tt0050468,nm0836328
tt0050539,nm0000791
tt0050613,nm0000041
tt0050634,nm0435563
tt0050658,nm0000697
tt0050706,nm0004244
tt0050766,nm0869664
tt0050783,nm0000019
tt0050798,nm0829038
tt0050825,nm0000040
tt0050976,nm0000005
tt0050986,nm0000005
tt0051036,nm0533241
tt0051201,nm0000697
tt0051207,nm0000033
tt0051378,nm0001501
tt0051383,nm0196536
tt0051411,nm0943758
tt0051418,nm0947105
tt0051418,nm0234893
tt0051459,nm0112218
tt0051525,nm0006452
tt0051554,nm0279807
tt0051622,nm0627087
tt0051658,nm0591486
tt0051658,nm0910199
tt0051744,nm0145336
tt0051808,nm0000041
tt0051994,nm0001928
tt0052077,nm0000248
tt0052080,nm0906667
tt0052151,nm0936404
tt0052311,nm0000080
tt0052357,nm0000033
tt0052365,nm0281507
tt0052561,nm0695937
tt0052618,nm0943758
tt0052738,nm0828419
tt0052893,nm0720297
tt0052918,nm0802862
tt0052948,nm0505610
tt0053125,nm0000033
tt0053137,nm0006452
tt0053143,nm0001175
tt0053168,nm0000975
tt0053172,nm0330456
tt0053198,nm0000076
tt0053221,nm0001328
tt0053270,nm0001023
tt0053285,nm0164203
tt0053285,nm0314671
tt0053285,nm0488981
tt0053285,nm0718627
tt0053285,nm0527217
tt0053291,nm0000697
tt0053318,nm0000581
tt0053459,nm0290802
tt0053472,nm0000419
tt0053580,nm0000078
tt0053604,nm0000697
tt0053619,nm0000774
tt0053779,nm0000019
tt0053793,nm0112218
tt0053925,nm0000339
tt0053946,nm0006452
tt0053976,nm0000005
tt0054033,nm0000339
tt0054047,nm0836328
tt0054067,nm0000878
tt0054130,nm0000774
tt0054135,nm0587277
tt0054167,nm0003836
tt0054189,nm0167496
tt0054215,nm0000033
tt0054248,nm0899581
tt0054331,nm0000040
tt0054331,nm0542649
tt0054357,nm0002175
tt0054387,nm0657162
tt0054389,nm0000076
tt0054407,nm0065442
tt0054443,nm0727211
tt0054460,nm0000041
tt0054632,nm0720297
tt0054698,nm0001175
tt0054743,nm0943758
tt0054847,nm0542649
tt0054953,nm0496746
tt0054997,nm0744035
tt0055018,nm0002338
tt0055031,nm0006452
tt0055032,nm0000076
tt0055184,nm0001379
tt0055254,nm0314671
tt0055254,nm0527217
tt0055254,nm0718627
tt0055256,nm0000697
tt0055277,nm0842582
tt0055304,nm0000339
tt0055471,nm0001415
tt0055499,nm0000005
tt0055572,nm0000419
tt0055601,nm0000320
tt0055614,nm0730385
tt0055614,nm0936404
tt0055630,nm0000041
tt0055798,nm0001239
tt0055824,nm0496746
tt0055830,nm0367547
tt0055852,nm0889513
tt0055895,nm0001175
tt0055913,nm0314584
tt0055928,nm0950109
tt0056058,nm0462030
tt0056059,nm0001328
tt0056085,nm0000406
tt0056085,nm0368871
tt0056085,nm0550892
tt0056085,nm0861703
tt0056111,nm0001789
tt0056111,nm0007672
tt0056172,nm0000180
tt0056193,nm0000040
tt0056197,nm0002175
tt0056197,nm0554249
tt0056197,nm0652631
tt0056197,nm0926919
tt0056197,nm0953123
tt0056217,nm0000406
tt0056218,nm0001239
tt0056241,nm0671957
tt0056262,nm0196536
tt0056264,nm0587277
tt0056264,nm0715346
tt0056264,nm0780833
tt0056291,nm0000591
tt0056412,nm0001603
tt0056443,nm0000041
tt0056592,nm0612322
tt0056663,nm0000419
tt0056687,nm0000736
tt0056732,nm0000320
tt0056736,nm0000774
tt0056801,nm0000019
tt0056869,nm0000033
tt0056923,nm0002045
tt0056937,nm0000581
tt0056937,nm0541149
tt0057012,nm0000040
tt0057076,nm0950109
tt0057091,nm0899581
tt0057115,nm0836328
tt0057129,nm0936404
tt0057163,nm0728688
tt0057187,nm0000697
tt0057193,nm0006452
tt0057197,nm0149548
tt0057261,nm0111656
tt0057298,nm0572132
tt0057345,nm0000419
tt0057358,nm0000005
tt0057372,nm0001471
tt0057413,nm0001175
tt0057427,nm0000080
tt0057449,nm0000339
tt0057495,nm0002087
tt0057546,nm0718627
tt0057546,nm0314671
tt0057546,nm0359457
tt0057565,nm0000041
tt0057590,nm0724798
tt0057603,nm0000878
tt0057611,nm0000005
tt0057831,nm0128050
tt0057869,nm0000419
tt0057877,nm0322706
tt0058003,nm0000774
tt0058083,nm0001486
tt0058135,nm0320833
tt0058150,nm0357891
tt0058182,nm0504513
tt0058213,nm0000736
tt0058279,nm0462030
tt0058329,nm0000033
tt0058331,nm0829038
tt0058333,nm0000339
tt0058385,nm0002030
tt0058404,nm0001379
tt0058430,nm0793881
tt0058450,nm0218840
tt0058461,nm0001466
tt0058548,nm0916977
tt0058576,nm0001239
tt0058586,nm0001175
tt0058625,nm0856267
tt0058700,nm0706575
tt0058700,nm0758508
tt0058715,nm0001596
tt0058777,nm0256831
tt0058888,nm0000041
tt0058898,nm0000419
tt0058946,nm0690597
tt0058947,nm0002175
tt0059017,nm0799033
tt0059037,nm0422484
tt0059037,nm0001603
tt0059113,nm0000180
tt0059170,nm0000540
tt0059183,nm0000736
tt0059229,nm0000019
tt0059243,nm0001175
tt0059260,nm0504513
tt0059274,nm0001486
tt0059319,nm0002089
tt0059550,nm0301145
tt0059578,nm0001466
tt0059592,nm0000419
tt0059646,nm0000591
tt0059740,nm0368871
tt0059742,nm0936404
tt0059749,nm0728688
tt0059800,nm0950109
tt0059825,nm0001239
tt0059885,nm0733476
tt0060086,nm0318150
tt0060107,nm0001789
tt0060138,nm0000975
tt0060153,nm0554169
tt0060176,nm0000774
tt0060196,nm0001466
tt0060232,nm0671957
tt0060268,nm0000591
tt0060315,nm0179281
tt0060390,nm0000076
tt0060397,nm0281507
tt0060424,nm0000697
tt0060474,nm0653620
tt0060522,nm0943758
tt0060584,nm0301145
tt0060665,nm0003593
tt0060666,nm0912849
tt0060675,nm0000419
tt0060802,nm0579954
tt0060827,nm0000005
tt0060862,nm0112218
tt0060934,nm0936404
tt0060955,nm0001239
tt0061107,nm0000033
tt0061184,nm0001566
tt0061385,nm0757256
tt0061395,nm0000320
tt0061418,nm0671957
tt0061452,nm0346436
tt0061452,nm0400731
tt0061452,nm0001379
tt0061452,nm0569825
tt0061452,nm0663577
tt0061452,nm0848234
tt0061512,nm0742341
tt0061578,nm0000736
tt0061619,nm0001328
tt0061655,nm0000591
tt0061722,nm0001566
tt0061735,nm0006452
tt0061747,nm0692872
tt0061770,nm0728688
tt0061809,nm0112218
tt0061811,nm0422484
tt0061847,nm0462030
tt0061852,nm0718627
tt0061996,nm0000975
tt0062136,nm0004244
tt0062138,nm0000958
tt0062229,nm0578483
tt0062376,nm0165412
tt0062407,nm0002045
tt0062467,nm0950109
tt0062480,nm0000419
tt0062512,nm0318150
tt0062622,nm0000040
tt0062687,nm0331453
tt0062687,nm0879853
tt0062695,nm0000076
tt0062711,nm0671862
tt0062759,nm0301145
tt0062765,nm0946811
tt0062803,nm0400731
tt0062824,nm0796923
tt0062994,nm0943758
tt0063032,nm0179281
tt0063035,nm0446129
tt0063035,nm0000078
tt0063035,nm0503777
tt0063227,nm0367431
tt0063350,nm0001681
tt0063374,nm0757256
tt0063385,nm0715346
tt0063415,nm0001175
tt0063442,nm0769874
tt0063462,nm0000316
tt0063518,nm0001874
tt0063522,nm0000591
tt0063611,nm0000005
tt0063678,nm0001596
tt0063688,nm0422484
tt0063759,nm0000005
tt0063823,nm0242945
tt0063850,nm0000755
tt0064040,nm0578483
tt0064072,nm0357891
tt0064115,nm0001351
tt0064116,nm0001466
tt0064276,nm0000454
tt0064418,nm0000037
tt0064505,nm0172772
tt0064541,nm0516360
tt0064603,nm0829038
tt0064612,nm0006445
tt0064665,nm0772259
tt0064757,nm0402597
tt0064782,nm0517597
tt0064940,nm0000019
